,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance
115,2017,0,7/27/2017,2,2,2,0,5,28,0,2,2,271,1,82,3,1,2017,7,27,0
116,2017,5,8/31/2017,2,2,2,0,2,16,0,4,2,452,1,165,4,2,2017,8,31,0
117,2017,6,9/7/2017,2,0,2,0,0,29,0,4,2,354,2,130,4,2,2017,9,7,0
118,2017,11,10/19/2017,2,2,2,0,2,16,0,4,2,409,1,57,3,1,2017,10,19,0
119,2017,6,9/4/2017,1,0,2,0,5,28,0,4,2,403,1,141,4,2,2017,9,4,0
120,2017,11,10/17/2017,3,2,2,0,5,8,0,4,2,381,2,120,4,2,2017,10,17,0
121,2017,8,9/20/2017,4,2,2,0,5,8,0,4,2,447,1,73,3,1,2017,9,20,0
122,2017,9,10/4/2017,4,0,2,0,5,28,0,4,2,403,1,73,3,1,2017,10,4,0
123,2017,8,9/19/2017,3,2,2,0,2,16,0,4,2,452,2,73,3,1,2017,9,19,0
124,2017,9,10/4/2017,4,1,2,0,5,28,0,2,2,385,1,74,3,1,2017,10,4,0
125,2017,0,7/27/2017,2,2,2,0,2,16,0,4,2,452,1,134,4,2,2017,7,27,0
126,2017,7,9/14/2017,2,0,2,0,5,15,0,4,2,419,1,110,4,2,2017,9,14,0
127,2017,3,8/14/2017,1,1,2,0,2,16,1,4,2,447,2,79,3,1,2017,8,14,0
128,2017,1,8/2/2017,4,1,2,0,6,12,0,4,2,381,2,111,4,2,2017,8,2,0
129,2017,3,8/16/2017,4,2,2,0,2,16,0,4,2,409,2,165,4,2,2017,8,16,0
130,2017,5,8/31/2017,2,2,2,0,2,16,0,4,2,409,1,214,5,2,2017,8,31,0
131,2017,9,10/4/2017,4,0,2,0,5,15,0,4,2,386,1,95,3,1,2017,10,4,0
132,2017,3,8/14/2017,1,0,2,0,2,17,0,4,2,424,2,167,4,2,2017,8,14,0
133,2017,4,8/22/2017,3,2,2,0,5,8,0,4,2,381,2,168,4,2,2017,8,22,0
134,2017,2,8/11/2017,0,2,2,0,5,15,0,4,2,419,1,115,4,2,2017,8,11,0
135,2017,5,8/28/2017,1,2,2,0,5,15,0,4,2,419,1,120,4,2,2017,8,28,0
136,2017,8,9/20/2017,4,1,2,0,6,12,0,4,2,381,2,52,3,1,2017,9,20,0
137,2017,1,8/1/2017,3,2,2,0,2,16,0,4,2,452,2,213,5,2,2017,8,1,0
138,2017,0,7/26/2017,4,1,2,0,5,28,0,2,2,385,1,85,3,1,2017,7,26,0
139,2017,3,8/14/2017,1,2,2,0,2,16,0,4,2,457,2,113,4,2,2017,8,14,0
140,2017,1,8/2/2017,4,2,2,0,5,8,0,4,2,447,1,188,4,2,2017,8,2,0
141,2017,8,9/22/2017,0,0,2,0,2,16,1,4,2,455,2,119,4,2,2017,9,22,0
142,2017,11,10/18/2017,4,2,2,0,2,16,0,4,2,409,2,246,5,2,2017,10,18,0
143,2017,4,8/23/2017,4,2,2,0,2,16,0,4,2,409,2,157,4,2,2017,8,23,0
144,2017,6,9/7/2017,2,2,2,0,2,16,0,4,2,452,1,51,2,1,2017,9,7,0
145,2017,6,9/7/2017,2,1,2,0,6,7,1,2,2,304,1,154,4,2,2017,9,7,0
146,2017,4,8/24/2017,2,2,2,0,2,16,0,4,2,452,1,135,4,2,2017,8,24,0
147,2017,8,9/20/2017,4,2,2,0,2,16,0,4,2,409,2,102,4,2,2017,9,20,0
148,2017,2,8/11/2017,0,0,2,0,5,15,0,4,2,386,1,92,3,1,2017,8,11,0
149,2017,0,7/26/2017,4,0,2,0,5,28,0,4,2,403,1,145,4,2,2017,7,26,0
150,2017,3,8/15/2017,3,0,2,0,6,11,0,4,2,366,2,123,4,2,2017,8,15,0
151,2017,3,8/15/2017,3,1,2,0,2,16,0,4,2,459,2,158,4,2,2017,8,15,0
152,2017,5,8/31/2017,2,1,2,0,6,7,1,2,2,304,1,70,3,1,2017,8,31,0
153,2017,11,10/17/2017,3,0,2,0,6,11,0,4,2,366,2,133,4,2,2017,10,17,0
154,2017,9,10/5/2017,2,2,2,0,5,28,0,2,2,271,1,48,2,1,2017,10,5,0
155,2017,3,8/14/2017,1,1,2,0,2,17,0,4,0,320,1,118,4,2,2017,8,14,0
156,2017,11,10/19/2017,2,1,2,0,6,7,1,2,2,304,1,124,4,2,2017,10,19,0
157,2017,4,8/24/2017,2,0,2,0,0,29,0,4,2,354,2,123,4,2,2017,8,24,0
158,2017,6,9/7/2017,2,2,2,0,2,16,0,4,2,409,1,117,4,2,2017,9,7,0
159,2017,2,8/10/2017,2,2,2,0,2,16,0,4,2,409,1,181,4,2,2017,8,10,0
160,2017,1,8/1/2017,3,1,2,0,2,16,0,4,2,459,2,215,5,2,2017,8,1,0
161,2017,5,8/28/2017,1,0,2,0,2,17,0,4,2,424,2,181,4,2,2017,8,28,0
162,2017,10,10/12/2017,2,0,2,0,5,8,0,4,2,447,1,100,3,2,2017,10,12,0
163,2017,7,9/15/2017,0,2,2,0,5,15,0,4,2,419,1,170,4,2,2017,9,15,0
164,2017,7,9/14/2017,2,1,2,0,6,7,1,2,2,304,1,126,4,2,2017,9,14,0
165,2017,7,9/14/2017,2,0,2,0,5,8,0,4,2,447,1,108,4,2,2017,9,14,0
166,2017,8,9/20/2017,4,0,2,0,5,15,0,4,2,386,1,93,3,1,2017,9,20,0
167,2017,10,10/9/2017,1,0,2,0,5,28,0,4,2,403,1,67,3,1,2017,10,9,0
168,2017,8,9/18/2017,1,0,2,0,5,28,0,4,2,403,1,91,3,1,2017,9,18,0
169,2017,0,7/26/2017,4,1,2,0,6,12,0,4,2,381,2,117,4,2,2017,7,26,0
170,2017,11,10/19/2017,2,0,2,0,5,8,0,4,2,447,1,77,3,1,2017,10,19,0
171,2017,0,7/26/2017,4,2,2,0,5,8,0,4,2,447,1,194,4,2,2017,7,26,0
172,2017,8,9/20/2017,4,0,2,0,2,16,0,4,2,457,1,121,4,2,2017,9,20,0
173,2017,0,7/27/2017,2,0,2,0,5,15,0,4,2,419,1,165,4,2,2017,7,27,0
174,2017,5,8/28/2017,1,1,2,0,2,17,0,4,0,320,1,127,4,2,2017,8,28,0
175,2017,3,8/16/2017,4,0,2,0,5,15,0,4,2,386,1,147,4,2,2017,8,16,0
176,2017,6,9/4/2017,1,2,2,0,5,15,0,4,2,419,1,137,4,2,2017,9,4,0
177,2017,7,9/15/2017,0,0,2,0,5,15,0,4,2,386,1,190,4,2,2017,9,15,0
178,2017,9,10/3/2017,3,1,2,0,2,16,0,4,2,459,2,93,3,1,2017,10,3,0
179,2017,6,9/5/2017,3,2,2,0,2,16,0,4,2,452,2,141,4,2,2017,9,5,0
180,2017,0,7/26/2017,4,0,2,0,2,16,0,4,2,457,1,165,4,2,2017,7,26,0
181,2017,0,7/26/2017,4,2,2,0,2,16,0,4,2,409,2,212,5,2,2017,7,26,0
182,2017,0,7/24/2017,1,0,2,0,5,28,0,4,2,403,1,130,4,2,2017,7,24,0
183,2017,10,10/10/2017,3,0,2,0,6,11,0,4,2,366,2,133,4,2,2017,10,10,0
184,2017,11,10/19/2017,2,2,2,0,5,28,0,2,2,271,1,52,3,1,2017,10,19,0
185,2017,0,7/27/2017,2,0,2,0,0,29,0,4,2,354,2,147,4,2,2017,7,27,0
186,2017,0,7/27/2017,2,2,2,0,2,16,0,4,2,409,1,170,4,2,2017,7,27,0
187,2017,3,8/16/2017,4,0,2,0,2,16,0,4,2,457,1,131,4,2,2017,8,16,0
188,2017,0,7/27/2017,2,0,2,0,5,8,0,4,2,447,1,167,4,2,2017,7,27,0
189,2017,7,9/15/2017,0,0,2,0,2,16,1,4,2,455,2,149,4,2,2017,9,15,0
190,2017,6,9/5/2017,3,2,2,0,5,8,0,4,2,381,2,159,4,2,2017,9,5,0
191,2017,0,7/26/2017,4,0,2,0,5,15,0,4,2,386,1,136,4,2,2017,7,26,0
192,2017,0,7/24/2017,1,2,2,0,2,16,0,4,2,457,2,201,5,2,2017,7,24,0
193,2017,0,7/28/2017,0,2,2,0,5,15,0,4,2,419,1,144,4,2,2017,7,28,0
194,2017,0,7/28/2017,0,0,2,0,5,15,0,4,2,386,1,102,4,2,2017,7,28,0
195,2017,4,8/24/2017,2,2,2,0,2,16,0,4,2,409,1,161,4,2,2017,8,24,0
196,2017,7,9/11/2017,1,2,2,0,5,15,0,4,2,419,1,124,4,2,2017,9,11,0
197,2017,0,7/27/2017,2,1,2,0,6,7,1,2,2,304,1,129,4,2,2017,7,27,0
198,2017,4,8/21/2017,1,2,2,0,5,15,0,4,2,419,1,137,4,2,2017,8,21,0
199,2017,6,9/6/2017,4,3,2,0,6,22,0,4,0,62,1,54,3,1,2017,9,6,0
200,2017,6,9/6/2017,4,1,2,0,5,28,0,2,2,385,1,83,3,1,2017,9,6,0
201,2017,6,9/7/2017,2,0,2,0,5,15,0,4,2,419,1,95,3,1,2017,9,7,0
202,2017,5,8/29/2017,3,2,2,0,5,8,0,4,2,381,2,158,4,2,2017,8,29,0
203,2017,8,9/18/2017,1,1,2,0,2,17,0,4,0,320,1,84,3,1,2017,9,18,0
204,2017,11,10/18/2017,4,0,2,0,5,15,0,4,2,386,1,55,3,1,2017,10,18,0
205,2017,1,8/2/2017,4,0,2,0,5,15,0,4,2,386,1,150,4,2,2017,8,2,0
206,2017,1,8/2/2017,4,0,2,0,2,16,0,4,2,457,1,204,5,2,2017,8,2,0
207,2017,7,9/11/2017,1,0,2,0,2,17,0,4,2,424,2,143,4,2,2017,9,11,0
208,2017,0,7/25/2017,3,2,2,0,2,16,0,4,2,452,2,223,5,2,2017,7,25,0
209,2017,9,10/3/2017,3,0,2,0,6,11,0,4,2,366,2,119,4,2,2017,10,3,0
210,2017,3,8/15/2017,3,2,2,0,5,8,0,4,2,381,2,168,4,2,2017,8,15,0
211,2017,6,9/5/2017,3,1,2,0,2,16,0,4,2,459,2,104,4,2,2017,9,5,0
212,2017,0,7/24/2017,1,1,2,0,2,16,1,4,2,447,2,154,4,2,2017,7,24,0
213,2017,1,7/31/2017,1,0,2,0,2,17,0,4,2,424,2,238,5,2,2017,7,31,0
214,2017,1,7/31/2017,1,1,2,0,2,17,0,4,0,320,1,174,4,2,2017,7,31,0
215,2017,1,7/31/2017,1,1,2,0,2,16,1,4,2,447,2,119,4,2,2017,7,31,0
216,2017,0,7/25/2017,3,1,2,0,2,16,0,4,2,459,2,216,5,2,2017,7,25,0
217,2017,4,8/25/2017,0,2,2,0,5,15,0,4,2,419,1,97,3,1,2017,8,25,0
218,2017,3,8/17/2017,2,0,2,0,5,15,0,4,2,419,1,151,4,2,2017,8,17,0
219,2017,7,9/14/2017,2,2,2,0,2,16,0,4,2,409,1,97,3,1,2017,9,14,0
220,2017,5,8/31/2017,2,0,2,0,0,29,0,4,2,354,2,137,4,2,2017,8,31,0
221,2017,11,10/16/2017,1,1,2,0,2,16,1,4,2,447,2,53,3,1,2017,10,16,0
222,2017,5,8/29/2017,3,2,2,0,2,16,0,4,2,452,2,167,4,2,2017,8,29,0
223,2017,5,8/30/2017,4,0,2,0,2,16,0,4,2,457,1,148,4,2,2017,8,30,0
224,2017,8,9/18/2017,1,0,2,0,2,17,0,4,2,424,2,141,4,2,2017,9,18,0
225,2017,7,9/13/2017,4,1,2,0,6,12,0,4,2,381,2,61,3,1,2017,9,13,0
226,2017,8,9/18/2017,1,1,2,0,2,16,1,4,2,447,2,59,3,1,2017,9,18,0
227,2017,5,8/30/2017,4,1,2,0,5,28,0,2,2,385,1,67,3,1,2017,8,30,0
228,2017,2,8/10/2017,2,1,2,0,6,7,1,2,2,304,1,117,4,2,2017,8,10,0
229,2017,10,10/12/2017,2,2,2,0,2,16,0,4,2,409,1,62,3,1,2017,10,12,0
230,2017,4,8/25/2017,0,0,2,0,5,15,0,4,2,386,1,96,3,1,2017,8,25,0
231,2017,4,8/25/2017,0,0,2,0,2,16,1,4,2,455,2,193,4,2,2017,8,25,0
232,2017,6,9/6/2017,4,2,2,0,5,8,0,4,2,447,1,91,3,1,2017,9,6,0
233,2017,3,8/16/2017,4,2,2,0,5,8,0,4,2,447,1,115,4,2,2017,8,16,0
234,2017,10,10/13/2017,0,2,2,0,5,8,0,4,2,291,2,58,3,1,2017,10,13,0
235,2017,11,10/16/2017,1,2,2,0,2,16,0,4,2,457,2,87,3,1,2017,10,16,0
236,2017,7,9/13/2017,4,2,2,0,2,16,0,4,2,409,2,105,4,2,2017,9,13,0
237,2017,7,9/11/2017,1,0,2,0,5,28,0,4,2,403,1,93,3,1,2017,9,11,0
238,2017,3,8/16/2017,4,1,2,0,5,28,0,2,2,385,1,102,4,2,2017,8,16,0
239,2017,8,9/18/2017,1,2,2,0,2,16,0,4,2,457,2,101,4,2,2017,9,18,0
240,2017,7,9/13/2017,4,1,2,0,5,28,0,2,2,385,1,104,4,2,2017,9,13,0
241,2017,5,8/30/2017,4,0,2,0,5,28,0,4,2,403,1,90,3,1,2017,8,30,0
242,2017,10,10/10/2017,3,2,2,0,2,16,0,4,2,452,2,60,3,1,2017,10,10,0
243,2017,10,10/12/2017,2,1,2,0,6,7,1,2,2,304,1,84,3,1,2017,10,12,0
244,2017,1,8/1/2017,3,1,2,2,2,21,0,4,2,55,1,55,3,1,2017,8,1,1
245,2017,3,8/16/2017,4,1,2,0,6,12,0,4,2,381,2,95,3,1,2017,8,16,0
246,2017,5,8/31/2017,2,0,2,0,5,15,0,4,2,419,1,70,3,1,2017,8,31,0
247,2017,5,8/29/2017,3,1,2,0,2,16,0,4,2,459,2,133,4,2,2017,8,29,0
248,2017,6,9/5/2017,3,0,2,0,6,11,0,4,2,366,2,135,4,2,2017,9,5,0
249,2017,8,9/18/2017,1,2,2,0,5,15,0,4,2,419,1,139,4,2,2017,9,18,0
250,2017,10,10/11/2017,4,0,2,0,5,28,0,4,2,403,1,61,3,1,2017,10,11,0
251,2017,3,8/16/2017,4,0,2,0,5,28,0,4,2,403,1,95,3,1,2017,8,16,0
252,2017,5,8/30/2017,4,2,2,0,2,16,0,4,2,409,2,138,4,2,2017,8,30,0
253,2017,10,10/10/2017,3,1,2,0,2,16,0,4,2,459,2,100,3,2,2017,10,10,0
254,2017,0,7/28/2017,0,2,2,0,5,8,0,4,2,291,2,136,4,2,2017,7,28,0
255,2017,5,8/28/2017,1,1,2,0,2,16,1,4,2,447,2,68,3,1,2017,8,28,0
256,2017,7,9/15/2017,0,0,2,0,5,15,0,4,2,386,1,190,4,2,2017,9,15,0
257,2017,7,9/13/2017,4,0,2,0,5,15,0,4,2,386,1,123,4,2,2017,9,13,0
258,2017,6,9/6/2017,4,1,2,0,6,12,0,4,2,381,2,63,3,1,2017,9,6,0
259,2017,11,10/16/2017,1,1,2,0,2,17,0,4,0,320,1,123,4,2,2017,10,16,0
260,2017,7,9/13/2017,4,0,2,0,2,16,0,4,2,457,1,132,4,2,2017,9,13,0
261,2017,5,8/29/2017,3,0,2,0,6,11,0,4,2,366,2,153,4,2,2017,8,29,0
262,2017,5,8/30/2017,4,0,2,0,5,15,0,4,2,386,1,103,4,2,2017,8,30,0
263,2017,10,10/11/2017,4,1,2,0,5,28,0,2,2,385,1,48,2,1,2017,10,11,0
264,2017,1,8/1/2017,3,0,2,0,6,11,0,4,2,366,2,165,4,2,2017,8,1,0
265,2017,0,7/25/2017,3,0,2,0,6,11,0,4,2,366,2,160,4,2,2017,7,25,0
266,2017,10,10/13/2017,0,2,2,0,5,15,0,4,2,419,1,51,2,1,2017,10,13,0
267,2017,5,8/28/2017,1,2,2,0,2,16,0,4,2,457,2,151,4,2,2017,8,28,0
268,2017,1,8/1/2017,3,2,2,0,5,8,0,4,2,381,2,207,5,2,2017,8,1,0
269,2017,3,8/14/2017,1,0,2,0,5,28,0,4,2,403,1,110,4,2,2017,8,14,0
270,2017,5,8/28/2017,1,0,2,0,5,28,0,4,2,403,1,78,3,1,2017,8,28,0
